id;name;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;city
29151289;Gorgeous 1BR apt/Capitol Hill/Eastern Market;219448248;20003;38.88176;-76.99215;Entire home/apt;294;3;190;2023-03-06;3.57;1;75;28;Washington D.C.
40373899;Month & Longer Stay - 1 BR Apt in Adams Morgan /35;69203193;20009;38.9185905456543;-77.03758239746094;Entire home/apt;65;31;6;2023-01-15;0.16;35;338;1;Washington D.C.
14353375;Charming efficiency apt. in vibrant Adams Morgan;87977393;20009;38.92295;-77.04579;Entire home/apt;123;2;583;2023-03-11;7.38;5;302;123;Washington D.C.
674157409393500371;Modern Home, Ocean Views & Yard, Walk to GG Park;8617456;94122;37.75876460000001;-122.4759697;Entire home/apt;500;2;1;2022-08-12;0.14;1;104;1;San Francisco
54223760;Near Golden Gate Park Convenient place Cozy Rm 5B2;9219277;94122;37.76054;-122.48372;Private room;55;30;5;2022-12-18;0.4;10;145;4;San Francisco
30361406;1BR Mission Bay, w/ Gym, nr Caltrain;107434423;94158;37.772587;-122.393081;Entire home/apt;226;31;1;2021-11-22;0.06;138;0;0;San Francisco
17695736;201D Cozy Shared Room in CoHi DC! (Male Only);26389480;20009;38.92742;-77.02941;Shared room;46;1;61;2022-09-18;0.84;19;172;4;Washington D.C.
20287325;Red Victorian - Private suite w/bath, Gigi's;117141107;94117;37.76944;-122.44992;Private room;100;1;118;2020-03-05;1.76;43;0;0;San Francisco
22748621;Perfect Apartment, Lots of natural light;9632192;94102;37.77248;-122.4252;Entire home/apt;108;30;4;2023-02-03;0.09;12;333;3;San Francisco
44640480;Sunny apartment with a large private deck;694377;94109;37.79377;-122.41426;Entire home/apt;176;30;2;2022-12-19;0.1;16;245;1;San Francisco
10769424;Sande's Place: Private in-law unit;30127937;94121;37.77366;-122.50081;Entire home/apt;93;2;227;2023-02-19;2.73;1;212;31;San Francisco
32766699;Luxury upper flat Marina, 1 block from Bay;28996560;94123;37.80377;-122.44342;Entire home/apt;283;30;3;2022-05-31;0.08;2;266;1;San Francisco
39468178;New Private Room in the Upbeat Mission District;3078020;94110;37.75924;-122.40843;Private room;108;3;98;2023-03-01;2.49;3;256;41;San Francisco
46146220;New Mid Century Modern Designer Home w/Play House;264963463;94131;37.74343;-122.43146;Entire home/apt;200;30;7;2021-06-01;0.25;1;131;0;San Francisco
635865897984255646;The Donatello Hotel one block from Union Square;77606360;94102;37.78704;-122.40955;Private room;200;2;0;0;0.0;3;0;0;San Francisco
4110344;Hotel Pac Hgts Queen Free Car ParkA;20850212;94109;37.79737;-122.42382;Private room;115;1;302;2023-01-15;2.96;16;189;59;San Francisco
668093992157787439;Lovely condo near Golden Gate Park;18278276;94117;37.77476;-122.44305;Entire home/apt;120;30;2;2023-01-22;0.73;1;231;2;San Francisco
38674128;Classic Edwardian SF Home best location;244118616;94123;37.79728;-122.44129;Private room;525;30;0;0;0.0;1;0;0;San Francisco
39623442;Hotel Bijou, ADA Queen - Accessible Roll-In Shower;266321575;94103;37.78334;-122.40893;Private room;129;1;10;2022-02-06;0.25;8;0;0;San Francisco
723716;Apartment Available beginning November 1, 2022;3138065;20011;38.93605;-77.04289;Entire home/apt;66;4;17;2022-09-30;0.18;2;0;4;Washington D.C.
834871074986655939;Luxury Penthouse downtown SF w Incredible Views;502787577;94105;37.78651;-122.39576;Entire home/apt;600;1;0;0;0.0;1;135;0;San Francisco
35398470;Affordable privacy in the Nation's capital;266460170;20020;38.86501;-76.94957;Entire home/apt;39;365;3;2019-08-09;0.07;1;180;0;Washington D.C.
50826010;Hayes Valley Flat in the Heart of San Francisco;410863411;94102;37.77395;-122.42404;Entire home/apt;300;2;56;2023-02-27;2.83;1;312;42;San Francisco
23611401;Stratford Cool Queen;173206762;94102;37.78632;-122.40724;Private room;9999;1;3;2022-04-30;0.06;61;293;1;San Francisco
40029212;Classic 2BR | Furnished | Wi-Fi | Gym | Downtown;30283594;20005;38.899914;-77.03313;Entire home/apt;413;31;24;2022-06-13;0.62;78;359;7;Washington D.C.
49563383;Blake & Sara's Sunset Home;23982718;94122;37.7595;-122.50489;Entire home/apt;185;30;2;2022-12-03;0.1;2;327;1;San Francisco
25432313;Private Comfy Bedroom in Sunset, By Beach and Park;188173660;94116;37.74429;-122.49138;Entire home/apt;83;1;222;2023-03-05;3.86;3;77;67;San Francisco
18877636;Private room #201 few minutes to metro in D.C;12166019;20019;38.89876;-76.94454;Private room;50;31;12;2021-04-17;0.17;8;200;0;Washington D.C.
565290974463041734;Junior Suite with Ensuite Bathroom;309731366;94133;37.80094;-122.40807;Private room;243;1;2;2022-08-09;0.18;7;325;2;San Francisco
31388922;Cozy Condo Unit;31990253;20003;38.87928;-76.98687;Entire home/apt;125;31;2;2019-06-14;0.04;1;0;0;Washington D.C.
18507951;Room with use of the Garage near Mission St.;61593086;94112;37.71869;-122.42876;Entire home/apt;115;4;107;2022-10-22;1.52;1;55;15;San Francisco
700808590903770000;Radiant Home near Ocean Beach and GGP;1169998;94122;37.76057;-122.5069;Entire home/apt;299;1;32;2023-02-16;5.08;2;274;32;San Francisco
